"country","avg"
"Venezuela","2013.50"
"Luxembourg","2016.33"
"Czech Republic","2013.59"
"Dominican Republic","2017.00"
"Ireland","2014.98"
"Singapore","2014.90"
"Portugal","2017.33"
"Malta","2013.00"
"Colombia","2016.88"
"Israel","2016.83"
"Kuwait","2013.63"
"Cyprus","2017.00"
"United Arab Emirates","2015.35"
"Belgium","2016.23"
"Uruguay","2016.93"
"Namibia","2018.00"
"Slovenia","2015.67"
"West Germany","1978.20"
"Egypt","2008.72"
"Chile","2015.59"
"Russia","2015.96"
"Norway","2015.87"
"Pakistan","2015.75"
"Brazil","2017.76"
"Guatemala","2018.00"
"Ethiopia","1993.00"
"Panama","2015.00"
"Sudan","2017.00"
"Poland","2008.37"
"Indonesia","2016.30"
"Jordan","2016.22"
"Sri Lanka","2010.00"
"Finland","2017.18"
"Cayman Islands","2019.50"
"Senegal","2017.67"
"United States","2013.15"
"Zimbabwe","2016.00"
"Paraguay","2018.00"
"Mauritius","2020.00"
"Taiwan","2014.49"
"Burkina Faso","1993.00"
"Italy","2013.41"
"Argentina","2015.78"
"Liechtenstein","1965.00"
"Bahamas","2006.00"
"Puerto Rico","2018.00"
"India","2012.02"
"Switzerland","2015.21"
"Hungary","2016.09"
"East Germany","1971.00"
"Lithuania","2015.00"
"Bulgaria","2016.40"
"Croatia","2015.25"
"Nepal","2017.50"
"Samoa","2017.00"
"Somalia","2017.00"
"Bangladesh","2016.25"
"Sweden","2016.36"
"Cambodia","2016.67"
"Albania","2018.00"
"Ukraine","2015.67"
"Saudi Arabia","2015.38"
"Latvia","2016.00"
"Algeria","2004.33"
"Slovakia","2016.00"
"Kenya","2017.67"
"Malaysia","2012.81"
"Nigeria","2016.95"
"China","2016.02"
"Armenia","2017.00"
"Qatar","2016.80"
"Australia","2014.16"
"Serbia","2016.71"
"Georgia","2017.50"
"Thailand","2014.86"
"Soviet Union","1985.00"
"United Kingdom","2013.75"
"Germany","2013.65"
"Canada","2015.01"
"Azerbaijan","2013.00"
"Greece","2014.55"
"Afghanistan","2016.00"
"South Africa","2015.92"
"Peru","2016.60"
"Kazakhstan","2016.00"
"Japan","2013.90"
"Jamaica","2018.00"
"Iraq","2016.50"
"Ecuador","2014.00"
"New Zealand","2012.58"
"Morocco","2015.17"
"Mexico","2015.66"
"Lebanon","2009.58"
"Cameroon","2020.00"
"Montenegro","2015.00"
"Uganda","2018.00"
"Cuba","2016.00"
"France","2013.79"
"Syria","2018.00"
"Ghana","2013.00"
"Iceland","2018.27"
"Hong Kong","2004.62"
"Philippines","2015.83"
"Turkey","2014.62"
"Belarus","2016.00"
"Netherlands","2016.44"
"","2011.43"
"Angola","2020.00"
"Spain","2016.95"
"Malawi","2019.00"
"South Korea","2017.07"
"Bermuda","2014.00"
"Iran","2015.75"
"Vietnam","2017.71"
"Denmark","2015.35"
"Mongolia","2017.00"
"Mozambique","2019.00"
"Botswana","2016.00"
"Romania","2014.50"
"Austria","2017.75"
"Vatican City","2018.00"
"Nicaragua","2015.00"
"Palestine","2019.00"
